Tom, StatuPorte_gris.pgm, 115, 573, L, gris, 0, 115
Tom, LaboPhonix_couleur.CR2, 72, 98, L, couleur, 0, 72
Tom, GrosArbre01_gris.pgm, 71, 51, L, gris, 0, 71
Tom, GrosArbre01_couleur.CR2, 70, 83, L, couleur, 0, 70
Lydia, Grille01_gris.pgm, 69, 30, L, gris, 0, 69
Lydia, Grille01_couleur.CR2, 68, 60, L, couleur, 0, 68
Tom, DomePont_gris.pgm, 67, 80, L, gris, 0, 67
Tom, DomePont_couleur.CR2, 66, 99, L, couleur, 0, 66
Tom, DessousPont01_gris.pgm, 65, 50, L, gris, 0, 65
Tom, DessousPont01_couleur.CR2, 64, 90, L, couleur, 0, 64
Tom, CedezPassage02_gris.pgm, 63, 20, L, gris, 0, 63
Tom, CedezPassage02_couleur.CR2, 62, 41, L, couleur, 0, 62
Lydia, BriqueSol02_gris.pgm, 61, 10, L, gris, 0, 61
Lydia, BriqueSol02_couleur.CR2, 60, 15, L, couleur, 0, 60
Tom, BriqueSol01_gris.pgm, 59, 10, L, gris, 0, 59
Tom, BriqueSol01_couleur.CR2, 58, 22, L, couleur, 0, 58
Tom, BeaucoupVer_gris.pgm, 57, 20, L, gris, 0, 57
Tom, BeaucoupVer_couleur.CR2, 56, 81, L, couleur, 0, 56
Lydia, BateauEau04_gris.pgm, 55, 60, L, gris, 0, 55
Lydia, BateauEau04_couleur.CR2, 54, 99, L, couleur, 0, 54
Lydia, BateauEau01_gris.pgm, 53, 60, L, gris, 0, 53
Lydia, BateauEau01_couleur.CR2, 52, 99, L, couleur, 0, 52
Tom, Vitraille_gris.pgm, 51, 4, L, gris, 5, 51
Tom, Vitraille_couleur.CR2, 50, 6, L, couleur, 6, 50
Lydia, Ver_gris.pgm, 49, 5, L, gris, 4, 49
Lydia, Ver_couleur.CR2, 48, 9, L, couleur, 5, 48
Lydia, Statu_gris.pgm, 47, 8, L, gris, 5, 47
Lydia, Statu_couleur.CR2, 46, 9, L, couleur, 6, 46
Lydia, SolBois01_gris.pgm, 45, 2, L, gris, 4, 45
Lydia, SolBois01_couleur.CR2, 44, 4, L, couleur, 5, 44
Lydia, PontGauche01_gris.pgm, 43, 2, L, gris, 4, 43
Lydia, PontGauche01_couleur.CR2, 42, 5, L, couleur, 5, 42
Lydia, PlanteEau01_gris.pgm, 41, 9, L, gris, 4, 41
Lydia, PlanteEau01_couleur.CR2, 40, 9, L, couleur, 5, 40
Tom, Pieton_gris.pgm, 39, 3, L, gris, 3, 39
Tom, Pieton_couleur.CR2, 38, 5, L, couleur, 4, 38
Tom, PanneauPieton_gris.pgm, 37, 1, L, gris, 5, 37
Tom, PanneauPieton_couleur.CR2, 36, 3, L, couleur, 6, 36
Tom, LimaceVelo_gris.pgm, 35, 7, L, gris, 3, 35
Tom, LimaceVelo_couleur.CR2, 34, 9, L, couleur, 4, 34
Lydia, GaletSol_gris.pgm, 33, 6, L, gris, 4, 33
Lydia, GaletSol_couleur.CR2, 32, 9, L, couleur, 4, 32
Tom, CedezPassage01_gris.pgm, 31, 1, L, gris, 5, 31
Tom, CedezPassage01_couleur.CR2, 30, 3, L, couleur, 6, 30
Tom, BriqueMur_gris.pgm, 29, 3, L, gris, 5, 29
Tom, BriqueMur_couleur.CR2, 28, 8, L, couleur, 6, 28
Lydia, BateauCote_gris.pgm, 27, 9, L, gris, 5, 27
Lydia, BateauCote_couleur.CR2, 26, 9, L, couleur, 6, 26
Tom, Bateau01_gris.pgm, 25, 7, L, gris, 5, 25
Tom, Bateau01_couleur.CR2, 24, 9, L, couleur, 6, 24
Tom, BandeSol_gris.pgm, 23, 2, L, gris, 3, 23
Tom, BandeSol_couleur.CR2, 22, 5, L, couleur, 3, 22
Tom, Banc_02_gris.pgm, 21, 6, L, gris, 5, 21
Tom, Banc_02_couleur.CR2, 20, 8, L, couleur, 5, 20
Tom, ArbreMultiBranche_gris.pgm, 19, 7, L, gris, 4, 19
Tom, ArbreMultiBranche_couleur.CR2, 18, 8, L, couleur, 4, 18
Open Sources, Facade_gris.pgm, 17, 0, O, gris, 0, 17
Open Sources, Cameraman_gris.pgm, 16, 0, O, gris, 0, 16
Open Sources, Micro1_gris.png, 15, 0, O, gris, 0, 15
Open Sources, Lena_gris.pgm, 14, 0, O, gris, 0, 14
Open Sources, Lena_couleur.png, 13, 0, O, couleur, 0, 13
Open Sources, ImageAerienne_gris.pgm, 12, 0, O, gris, 0, 12
Open Sources, ImageAerienne_couleur.png, 11, 0, O, couleur, 0, 11
Tom, Geek_gris.pgm, 10, 0, O, gris, 0, 10
Tom, Geek_couleur.CR2, 9, 0, O, couleur, 0, 9
Tom, EauToitPont_gris.pgm, 8, 0, O, gris, 0, 8
Tom, EauToitPont_couleur.CR2, 7, 0, O, couleur, 0, 7
Open Sources, Bird_gris.pgm, 6, 0, O, gris, 0, 6
Open Sources, Bird_couleur.png, 5, 0, O, couleur, 0, 5
Open Sources, Barbara_gris.pgm, 4, 0, O, gris, 0, 4
Open Sources, Barbara_couleur.png, 3, 0, O, couleur, 0, 3
Open Sources, Baboon_gris.pgm, 2, 0, O, gris, 0, 2
Open Sources, Baboon_couleur.png, 1, 0, O, couleur, 0, 1
